Country,(CHE)_per_capita_US$,MD_per_capita
Australia,5364.54,37.6
Austria,5322.26,52.11
Belgium,5134.41,31.15
Canada,5018.71,24.25
Chile,1455.12,25.91
China,501.06,20.97
Colombia,513.16,21.85
Costa Rica,909.67,28.94
Cuba,986.94,84.2
Czechia,1765.59,40.24
Denmark,6216.77,42.25
Estonia,1552.63,34.81
Finland,4515.68,46.4
France,4657.75,32.4
Germany,5481.99,43
Greece,1572.68,62.26
Hungary,1074.02,34.08
Iceland,6565.88,40.78
Ireland,5484.22,33.13
Israel,3329.23,35.3
Italy,3000.71,39.64
Japan,4256.1,24.8
Latvia,1101.49,33.02
Lithuania,1249.03,45.98
Mexico,521.01,24.25
Netherlands,5336.98,37.09
New Zealand,4037.46,34.21
Norway,8271.86,48.34
Portugal,2216.31,53.12
Republic of Korea,2543.6,24.08
Slovakia,1299.91,35.17
Slovenia,2169.58,31.72
Spain,2740.27,40.3
Sweden,6005.07,44.06
Switzerland,9870.66,43.33
TÃ¼rkiye,389.87,18.6
United Kingdom of Great Britain and Northern Ireland,4270.22,28.04
United States of America,10515.32,26.1
